Year,Retailer,Revenue,Units
2011,Chain98,4815087.619999763,1535050
2011,Chain112,4725129.679999712,1713067
2011,Chain5,4574273.169999719,1665812
2011,Chain73,2979815.079999773,1126291
2011,Chain110,1111448.5100000002,487371
2012,Chain112,4835975.539999782,1710526
2012,Chain98,4791504.0399998175,1457287
2012,Chain5,4757187.459999753,1724960
2012,Chain73,3017525.3799998136,1088952
2012,Chain110,1141277.0799999998,431213
